Transaction_ID,Date,Game_Type,Amount_Staked,Payout_Amount,Customer_Type
1000,2025-10-29,Pame Stoixima,13.03,0.0,Regular
1001,2025-04-25,Virtual Sports,39.38,62.21,Occasional
1002,2025-05-03,Joker,10.0,0.0,Occasional
1003,2025-06-16,Joker,32.39,0.0,Occasional
1004,2025-06-07,Virtual Sports,8.22,0.0,Occasional
1005,2025-08-03,Kino,1.27,0.0,VIP
1006,2026-03-15,Virtual Sports,12.67,0.0,Regular
1007,2025-06-11,Kino,48.47,0.0,VIP
1008,2025-07-16,Joker,23.9,0.0,VIP
1009,2025-05-02,Joker,39.28,0.0,Regular
1010,2026-01-17,Joker,13.32,27.43,VIP
1011,2025-12-09,Kino,24.15,0.0,Regular
1012,2026-03-20,Virtual Sports,47.18,0.0,Regular
1013,2025-11-23,Joker,42.47,108.79,Occasional
1014,2025-12-22,Virtual Sports,9.42,0.0,Regular
1015,2025-06-11,Virtual Sports,35.34,0.0,VIP
1016,2025-05-08,Joker,40.85,0.0,Occasional
1017,2026-01-21,Scratch,30.8,0.0,Regular
1018,2025-12-22,Scratch,9.86,43.26,VIP
1019,2025-11-18,Pame Stoixima,19.57,0.0,Occasional
1020,2025-06-25,Kino,15.28,39.82,Occasional
1021,2025-11-28,Virtual Sports,1.97,0.0,Occasional
1022,2026-01-07,Pame Stoixima,43.32,170.56,Regular
1023,2025-05-12,Joker,2.27,0.0,Occasional
1024,2025-06-22,Joker,10.8,0.0,Occasional
1025,2026-02-12,Kino,35.28,0.0,Occasional
1026,2025-06-16,Kino,32.06,118.94,Occasional
1027,2025-05-11,Virtual Sports,10.92,0.0,VIP
1028,2025-12-18,Joker,40.31,0.0,Regular
1029,2025-09-14,Virtual Sports,16.84,0.0,Regular
1030,2025-06-16,Joker,21.3,0.0,VIP
1031,2026-03-05,Virtual Sports,40.43,0.0,VIP
1032,2025-11-26,Scratch,12.39,0.0,Regular
1033,2025-12-09,Joker,28.17,0.0,Occasional
1034,2025-06-18,Joker,15.99,0.0,Regular
1035,2025-08-09,Scratch,25.31,0.0,Occasional
1036,2025-10-15,Virtual Sports,22.95,46.5,Occasional
1037,2025-11-06,Scratch,38.52,0.0,VIP
1038,2026-01-23,Virtual Sports,49.81,210.07,VIP
1039,2025-06-25,Virtual Sports,8.71,0.0,VIP
1040,2025-07-25,Kino,42.08,0.0,Occasional
1041,2025-08-18,Kino,47.8,137.2,VIP
1042,2025-09-18,Kino,40.62,0.0,Regular
1043,2025-08-24,Pame Stoixima,34.68,0.0,VIP
1044,2026-02-22,Pame Stoixima,38.8,0.0,Regular
1045,2025-11-27,Virtual Sports,12.34,0.0,Occasional
1046,2026-01-19,Virtual Sports,27.61,0.0,Occasional
1047,2025-10-10,Joker,21.32,0.0,Regular
1048,2026-03-12,Joker,26.58,0.0,VIP
1049,2025-10-31,Pame Stoixima,45.76,0.0,Regular
1050,2026-01-11,Virtual Sports,38.9,0.0,VIP
1051,2025-06-07,Kino,34.65,0.0,VIP
1052,2025-05-02,Virtual Sports,38.83,0.0,Occasional
1053,2025-05-14,Pame Stoixima,46.93,175.44,Regular
1054,2026-04-03,Virtual Sports,20.17,0.0,Regular
1055,2025-07-17,Joker,42.68,0.0,Occasional
1056,2025-07-26,Virtual Sports,15.18,0.0,VIP
1057,2025-04-17,Scratch,20.29,0.0,VIP
1058,2025-05-14,Kino,31.69,0.0,VIP
1059,2025-07-12,Virtual Sports,12.76,0.0,VIP
1060,2025-12-06,Joker,6.54,0.0,VIP
1061,2026-04-13,Joker,11.55,0.0,Regular
1062,2025-12-06,Virtual Sports,46.28,0.0,VIP
1063,2025-11-27,Joker,33.9,0.0,VIP
1064,2026-03-17,Kino,26.52,0.0,Occasional
1065,2025-04-21,Pame Stoixima,4.36,0.0,Regular
1066,2025-04-16,Kino,17.24,0.0,Occasional
1067,2025-07-18,Kino,12.23,0.0,Regular
1068,2025-10-28,Pame Stoixima,35.54,0.0,Occasional
1069,2025-05-22,Joker,28.87,0.0,Occasional
1070,2025-07-05,Scratch,49.97,0.0,VIP
1071,2025-11-12,Joker,48.15,0.0,VIP
1072,2026-03-05,Kino,48.23,0.0,Regular
1073,2025-09-30,Pame Stoixima,16.69,0.0,Occasional
1074,2025-08-23,Virtual Sports,45.91,0.0,Regular
1075,2025-09-29,Pame Stoixima,9.48,0.0,VIP
1076,2025-12-06,Scratch,2.44,6.14,Regular
1077,2026-03-27,Virtual Sports,38.29,0.0,Occasional
1078,2026-01-25,Pame Stoixima,19.29,0.0,Occasional
1079,2026-01-25,Joker,22.35,0.0,VIP
1080,2025-04-24,Scratch,0.51,0.0,Occasional
1081,2025-11-07,Scratch,22.25,42.47,VIP
1082,2025-08-07,Scratch,13.54,51.76,Regular
1083,2025-06-04,Kino,14.72,0.0,VIP
1084,2025-07-01,Pame Stoixima,3.98,0.0,Regular
1085,2025-07-27,Pame Stoixima,48.22,144.28,Occasional
1086,2025-09-15,Scratch,30.15,0.0,VIP
1087,2025-12-06,Virtual Sports,15.38,0.0,Occasional
1088,2025-09-02,Scratch,43.91,0.0,Regular
1089,2025-12-06,Pame Stoixima,8.94,14.47,Regular
1090,2025-06-11,Pame Stoixima,11.75,0.0,Regular
1091,2026-04-12,Joker,8.82,0.0,Occasional
1092,2026-04-13,Scratch,31.79,0.0,VIP
1093,2025-09-03,Virtual Sports,35.12,0.0,Occasional
1094,2025-09-19,Virtual Sports,48.33,0.0,Occasional
1095,2025-08-25,Virtual Sports,35.11,0.0,Occasional
1096,2025-05-16,Virtual Sports,21.36,0.0,Occasional
1097,2026-02-17,Joker,28.65,0.0,Regular
1098,2025-06-16,Virtual Sports,48.43,0.0,Regular
1099,2026-03-23,Scratch,0.81,0.0,VIP
1100,2025-04-22,Joker,37.48,0.0,Regular
1101,2025-06-22,Virtual Sports,10.58,0.0,VIP
1102,2025-12-13,Scratch,20.22,0.0,Regular
1103,2025-08-19,Kino,17.56,0.0,Regular
1104,2026-01-16,Virtual Sports,43.62,145.89,Regular
1105,2025-08-13,Joker,33.81,0.0,VIP
1106,2025-10-04,Joker,29.93,0.0,Occasional
1107,2026-03-27,Virtual Sports,8.23,14.6,Occasional
1108,2025-06-12,Virtual Sports,8.55,0.0,VIP
1109,2025-09-03,Pame Stoixima,2.31,4.51,VIP
1110,2025-11-10,Scratch,2.39,0.0,VIP
1111,2025-06-23,Virtual Sports,31.42,0.0,Occasional
1112,2025-09-25,Scratch,40.56,0.0,Occasional
1113,2025-10-14,Virtual Sports,25.15,0.0,Occasional
1114,2025-09-29,Kino,24.36,0.0,Regular
1115,2026-03-02,Joker,3.31,0.0,Regular
1116,2025-07-25,Pame Stoixima,8.7,34.36,Occasional
1117,2025-12-15,Kino,20.54,0.0,VIP
1118,2026-04-09,Virtual Sports,18.96,0.0,Occasional
1119,2025-04-26,Virtual Sports,1.56,0.0,Regular
1120,2025-09-12,Scratch,6.56,0.0,Regular
1121,2026-02-12,Kino,1.99,0.0,VIP
1122,2025-06-04,Virtual Sports,10.69,0.0,Occasional
1123,2025-07-16,Kino,5.4,14.72,VIP
1124,2025-11-06,Virtual Sports,45.87,0.0,VIP
1125,2025-11-25,Virtual Sports,26.45,0.0,Occasional
1126,2025-08-12,Joker,33.91,105.72,VIP
1127,2025-09-27,Joker,46.14,0.0,Occasional
1128,2026-01-19,Kino,25.11,0.0,Regular
1129,2025-07-02,Virtual Sports,21.75,0.0,Regular
1130,2026-03-31,Scratch,39.14,0.0,Regular
1131,2026-03-11,Kino,26.94,0.0,Regular
1132,2025-09-11,Kino,10.27,0.0,VIP
1133,2025-10-01,Joker,29.68,86.14,Regular
1134,2026-02-19,Virtual Sports,1.6,0.0,Regular
1135,2026-01-06,Virtual Sports,47.33,0.0,VIP
1136,2025-05-25,Pame Stoixima,13.5,0.0,Occasional
1137,2025-12-09,Scratch,20.99,0.0,Regular
1138,2025-10-29,Virtual Sports,36.36,128.94,Occasional
1139,2025-08-12,Pame Stoixima,17.21,24.05,Regular
1140,2025-04-29,Pame Stoixima,30.02,139.86,Occasional
1141,2026-01-06,Pame Stoixima,41.37,149.22,Regular
1142,2025-07-22,Scratch,36.7,145.15,Regular
1143,2025-09-22,Kino,42.85,100.08,Regular
1144,2025-06-11,Joker,44.05,0.0,Occasional
1145,2025-12-11,Virtual Sports,43.27,208.81,Occasional
1146,2025-09-21,Joker,17.04,0.0,Occasional
1147,2026-01-10,Virtual Sports,4.09,0.0,Regular
1148,2025-08-08,Virtual Sports,39.27,0.0,VIP
1149,2026-03-12,Joker,2.88,0.0,Regular
1150,2025-11-15,Kino,46.75,0.0,VIP
1151,2025-12-11,Joker,21.04,89.78,Regular
1152,2025-10-12,Scratch,26.9,0.0,VIP
1153,2025-08-23,Scratch,16.07,0.0,Regular
1154,2025-12-08,Pame Stoixima,36.78,0.0,VIP
1155,2025-11-12,Scratch,20.0,0.0,VIP
1156,2025-07-12,Kino,4.39,0.0,Occasional
1157,2026-04-08,Pame Stoixima,42.12,0.0,Occasional
1158,2026-01-24,Scratch,2.21,0.0,Regular
1159,2025-04-17,Pame Stoixima,0.86,0.0,Occasional
1160,2025-04-17,Scratch,1.66,0.0,Regular
1161,2025-09-11,Pame Stoixima,32.14,0.0,VIP
1162,2026-01-27,Virtual Sports,2.85,0.0,VIP
1163,2025-07-24,Pame Stoixima,47.85,0.0,VIP
1164,2025-12-12,Joker,17.68,0.0,Regular
1165,2025-05-25,Kino,35.72,0.0,Occasional
1166,2025-07-16,Scratch,16.68,0.0,Occasional
1167,2025-10-30,Pame Stoixima,34.6,0.0,Occasional
